comparison,metric,n_runs,AgentRoute_mean,OI-MAS_mean,delta_mean,t_stat,p_value,cohens_d,ci95_lo,ci95_hi,bonferroni_alpha,significant_bonferroni,RCR-Router_mean,EvoMAS_mean,DyTopo_mean,RopMura_mean
AgentRoute vs OI-MAS,accuracy,3,0.8466666666666667,0.5733333333333333,0.27333333333333343,4.297967830559867,0.0501010026288816,2.481432883942091,-0.00029794059605181555,0.5469646072627186,0.0033333333333333335,False,,,,
AgentRoute vs OI-MAS,mean_e2e_latency_s,3,2.285372591018677,6.00676366964976,-3.721391078631083,-16.01795112827868,0.003874860785784002,-9.247968395777965,-4.721010402882296,-2.721771754379869,0.0033333333333333335,False,,,,
AgentRoute vs OI-MAS,mean_cost_usd,3,0.00090624,0.002971980000000001,-0.002065740000000001,-16.308937366089168,0.003738590267213768,-9.41596937850833,-0.0026107271840407876,-0.0015207528159592132,0.0033333333333333335,False,,,,
AgentRoute vs RCR-Router,accuracy,3,0.8466666666666667,,0.7133333333333334,19.217767316864897,0.0026967123166534925,11.09538313361554,0.5536256231064298,0.8730410435602367,0.0033333333333333335,True,0.13333333333333333,,,
AgentRoute vs RCR-Router,mean_e2e_latency_s,3,2.285372591018677,,-21.66069969813029,-102.9413061340499,9.435375358487068e-05,-59.43319080722539,-22.56605511067893,-20.75534428558165,0.0033333333333333335,True,23.94607228914897,,,
AgentRoute vs RCR-Router,mean_cost_usd,3,0.00090624,,-0.01702702666666667,-171.57769387702137,3.3966923996470347e-05,-99.06042774683351,-0.017454013305258816,-0.01660004002807452,0.0033333333333333335,True,0.01793326666666667,,,
AgentRoute vs EvoMAS,accuracy,3,0.8466666666666667,,0.29999999999999993,12.990381056766564,0.005873765936491211,7.499999999999992,0.200634491531218,0.3993655084687818,0.0033333333333333335,False,,0.5466666666666667,,
AgentRoute vs EvoMAS,mean_e2e_latency_s,3,2.285372591018677,,-2.3065681838989263,-8.438552150755434,0.013754079790587612,-4.872000355809345,-3.482642196997788,-1.1304941708000626,0.0033333333333333335,False,,4.591940774917603,,
AgentRoute vs EvoMAS,mean_cost_usd,3,0.00090624,,-0.0013207199999999996,-10.422431260793333,0.009080607316920812,-6.017393494029401,-0.0018659478236212365,-0.0007754921763787633,0.0033333333333333335,False,,0.0022269599999999996,,
AgentRoute vs DyTopo,accuracy,3,0.8466666666666667,,0.66,12.472827609304495,0.006366594961531659,7.201190377787747,0.43232501798701584,0.8876749820129842,0.0033333333333333335,False,,,0.18666666666666668,
AgentRoute vs DyTopo,mean_e2e_latency_s,3,2.285372591018677,,-24.91784981250763,-44.69196619819078,0.0005002822298278856,-25.802918715139104,-27.31677882893306,-22.5189207960822,0.0033333333333333335,True,,,27.203222403526308,
AgentRoute vs DyTopo,mean_cost_usd,3,0.00090624,,-0.014346979999999999,-43.83741250372474,0.0005199616920310015,-25.30954190960215,-0.015755139586395545,-0.012938820413604455,0.0033333333333333335,True,,,0.01525322,
AgentRoute vs RopMura,accuracy,3,0.8466666666666667,,0.6066666666666667,9.539392014169454,0.010811128420909717,5.507570547286101,0.3330353927372813,0.8802979405960518,0.0033333333333333335,False,,,,0.24
AgentRoute vs RopMura,mean_e2e_latency_s,3,2.285372591018677,,-7.923302555084229,-75.34793115164962,0.0001760932095650702,-43.5021483332863,-8.375753191031054,-7.470851919137401,0.0033333333333333335,True,,,,10.208675146102905
AgentRoute vs RopMura,mean_cost_usd,3,0.00090624,,-0.004115886666666667,-84.10896871415983,0.00014132640461235425,-48.56033572838199,-0.004326437708632681,-0.0039053356247006517,0.0033333333333333335,True,,,,0.005022126666666667
